date,longitude,latitude,prcp,tmin,tmax,rmin,rmax,srad,wspd
1980-01-01,-101.0800033292993,39.34999584335759,0.8,-8.4,2.2,47.6,82.1,8.2,3.5
1980-01-02,-101.0800033292993,39.34999584335759,0.0,-5.1,1.9,55.9,89.9,6.7,2.7
1980-01-03,-101.0800033292993,39.34999584335759,0.0,-8.5,-0.7,59.6,100.0,8.9,2.9
1980-01-04,-101.0800033292993,39.34999584335759,0.0,-8.7,1.9,62.5,100.0,7.1,2.9
1980-01-05,-101.0800033292993,39.34999584335759,0.0,-6.4,2.1,47.1,87.3,8.9,3.8
1980-01-06,-101.0800033292993,39.34999584335759,0.0,-13.8,2.9,43.7,83.3,8.9,7.0
1980-01-07,-101.0800033292993,39.34999584335759,0.0,-14.3,-4.9,40.7,79.6,7.7,2.6
1980-01-08,-101.0800033292993,39.34999584335759,0.0,-15.0,-4.6,50.7,89.5,9.0,4.2
1980-01-09,-101.0800033292993,39.34999584335759,0.0,-17.2,-5.2,56.4,100.0,9.1,5.8
1980-01-10,-101.0800033292993,39.34999584335759,0.0,-11.1,7.1,49.0,100.0,8.9,6.5
1980-01-11,-101.0800033292993,39.34999584335759,0.0,-8.1,4.1,40.5,77.7,9.6,5.5
1980-01-12,-101.0800033292993,39.34999584335759,0.0,-7.6,3.1,46.7,79.3,9.0,7.6
1980-01-13,-101.0800033292993,39.34999584335759,0.0,-2.3,10.5,44.3,85.2,9.1,3.7
1980-01-14,-101.0800033292993,39.34999584335759,0.0,-0.4,10.1,37.6,77.5,8.8,4.3
1980-01-15,-101.0800033292993,39.34999584335759,0.0,-0.9,9.2,49.0,86.9,7.7,4.2
1980-01-16,-101.0800033292993,39.34999584335759,0.0,-2.6,7.8,41.2,97.3,9.5,3.1
1980-01-17,-101.0800033292993,39.34999584335759,0.0,-3.0,8.8,47.8,77.8,8.9,3.3
1980-01-18,-101.0800033292993,39.34999584335759,2.1,-2.7,7.8,46.5,88.5,7.5,3.4
1980-01-19,-101.0800033292993,39.34999584335759,4.6,-7.7,1.3,50.7,100.0,6.4,6.0
1980-01-20,-101.0800033292993,39.34999584335759,1.6,-9.1,-2.0,55.4,90.5,6.4,1.8
1980-01-21,-101.0800033292993,39.34999584335759,0.0,-9.8,1.5,57.5,95.4,10.1,4.5
1980-01-22,-101.0800033292993,39.34999584335759,0.0,-9.0,-0.0,49.7,85.8,10.5,6.0
1980-01-23,-101.0800033292993,39.34999584335759,0.0,-9.2,3.7,55.4,85.2,8.8,5.1
1980-01-24,-101.0800033292993,39.34999584335759,0.3,-2.1,11.6,38.1,76.1,10.1,4.6
1980-01-25,-101.0800033292993,39.34999584335759,5.4,-9.3,4.1,34.4,83.8,5.6,5.7
1980-01-26,-101.0800033292993,39.34999584335759,0.6,-16.6,-6.5,47.1,100.0,7.4,4.3
1980-01-27,-101.0800033292993,39.34999584335759,0.0,-19.2,-11.2,50.1,89.0,9.7,2.7
1980-01-28,-101.0800033292993,39.34999584335759,1.1,-17.1,-10.9,49.2,92.2,7.9,2.5
